=== qlab round 5 (prefix qlab_r5, seed 1234) ===
--- trajectory txts into the 720p tree ---
--- download (cached after round 1) ---
[90mHint: The `hf-cli` skill is not installed. Run `hf skills add -g --claude` to teach your AI agents how to use the `hf` CLI.[0m
Fetching 32 files:   0%|          | 0/32 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 32 files:  25%|██▌       | 8/32 [00:00<00:00, 75.63it/s]Fetching 32 files:  25%|██▌       | 8/32 [00:20<00:00, 75.63it/s]Fetching 32 files:  28%|██▊       | 9/32 [02:22<08:18, 21.65s/it]Fetching 32 files:  31%|███▏      | 10/32 [02:27<06:48, 18.56s/it]Fetching 32 files:  31%|███▏      | 10/32 [02:40<06:48, 18.56s/it]Fetching 32 files:  34%|███▍      | 11/32 [02:54<07:05, 20.27s/it]Fetching 32 files:  38%|███▊      | 12/32 [03:29<07:53, 23.67s/it]Fetching 32 files:  41%|████      | 13/32 [04:17<09:21, 29.54s/it]Fetching 32 files:  44%|████▍     | 14/32 [04:23<07:02, 23.46s/it]Fetching 32 files:  47%|████▋     | 15/32 [04:40<06:38, 23.46s/it]Fetching 32 files:  50%|█████     | 16/32 [04:41<04:37, 17.33s/it]Fetching 32 files:  53%|█████▎    | 17/32 [04:48<03:44, 14.97s/it]Fetching 32 files:  53%|█████▎    | 17/32 [05:00<03:44, 14.97s/it]Fetching 32 files:  56%|█████▋    | 18/32 [05:14<04:07, 17.65s/it]Fetching 32 files:  59%|█████▉    | 19/32 [06:38<07:36, 35.15s/it]Fetching 32 files:  66%|██████▌   | 21/32 [06:38<03:41, 20.12s/it]Fetching 32 files:  72%|███████▏  | 23/32 [06:39<01:54, 12.68s/it]Fetching 32 files:  78%|███████▊  | 25/32 [06:40<00:58,  8.31s/it]Fetching 32 files:  81%|████████▏ | 26/32 [06:57<01:00, 10.12s/it]Fetching 32 files:  88%|████████▊ | 28/32 [07:03<00:29,  7.42s/it]Fetching 32 files:  91%|█████████ | 29/32 [07:14<00:24,  8.22s/it]Fetching 32 files:  94%|█████████▍| 30/32 [07:24<00:17,  8.64s/it]Fetching 32 files:  97%|█████████▋| 31/32 [07:25<00:06,  6.84s/it]Fetching 32 files: 100%|██████████| 32/32 [07:26<00:00,  5.28s/it]Fetching 32 files: 100%|██████████| 32/32 [07:26<00:00, 13.96s/it]
--- serve ---
server ready
--- group d (verdict): P0,L2 ---
=== P0: baseline control (verbatim released prompt) ===
  [P0 1] prompt_2.mp4: Anomaly (ok)
  [P0 2] prompt_4.mp4: Anomaly (ok)
  [P0 3] prompt_3.mp4: Normal (X)
  [P0 4] prompt_0.mp4: Normal (X)
P0: 2/4
=== L2: P0 + depiction/necessity guard line (min delta) ===
  [L2 1] prompt_2.mp4: Anomaly (ok)
  [L2 2] prompt_3.mp4: Normal (X)
  [L2 3] prompt_4.mp4: Normal (X)
  [L2 4] prompt_0.mp4: Normal (X)
L2: 1/4
gate: 4 recs, unknown=0, truncated=0
gate: 4 recs, unknown=0, truncated=0
=== P0: baseline control (verbatim released prompt) ===
  [P0 1] prompt_5.mp4: Anomaly (ok)
  [P0 2] prompt_9.mp4: Anomaly (ok)
  [P0 3] prompt_0_v04.mp4: Anomaly (ok)
  [P0 4] prompt_0_v01.mp4: Normal (X)
  [P0 5] prompt_0_v02.mp4: Normal (X)
  [P0 6] prompt_0_v03.mp4: Normal (X)
  [P0 7] prompt_0_v05.mp4: Normal (X)
  [P0 8] prompt_0_v06.mp4: Anomaly (ok)
  [P0 9] prompt_0_v07.mp4: Normal (X)
  [P0 10] prompt_0_v09.mp4: Anomaly (ok)
  [P0 11] prompt_0_v10.mp4: Anomaly (ok)
  [P0 12] prompt_0_v11.mp4: Anomaly (ok)
  [P0 13] prompt_0_v12.mp4: Normal (X)
  [P0 14] prompt_0_v13.mp4: Anomaly (ok)
  [P0 15] prompt_0_v14.mp4: Normal (X)
  [P0 16] prompt_0_v15.mp4: Anomaly (ok)
  [P0 17] prompt_0_v16.mp4: Anomaly (ok)
  [P0 18] prompt_0_v17.mp4: Normal (X)
  [P0 19] prompt_0_v20.mp4: Normal (X)
  [P0 20] prompt_2_v01.mp4: Anomaly (ok)
  [P0 21] prompt_2_v02.mp4: Anomaly (ok)
  [P0 22] prompt_2_v03.mp4: Anomaly (ok)
  [P0 23] prompt_2_v04.mp4: Anomaly (ok)
  [P0 24] prompt_2_v05.mp4: Anomaly (ok)
  [P0 25] prompt_2_v06.mp4: Anomaly (ok)
  [P0 26] prompt_2_v07.mp4: Anomaly (ok)
  [P0 27] prompt_2_v08.mp4: Anomaly (ok)
  [P0 28] prompt_2_v10.mp4: Anomaly (ok)
  [P0 29] prompt_2_v11.mp4: Anomaly (ok)
  [P0 30] prompt_2_v12.mp4: Anomaly (ok)
  [P0 31] prompt_2_v13.mp4: Anomaly (ok)
  [P0 32] prompt_2_v14.mp4: Anomaly (ok)
